Volgorde (spotify),ID,Track Name,Artist Name,Afgespeeld,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
1,130,Ready or Not,Fugees,,The Score (Expanded Edition),1,3,226986,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
2,75,Nobody's Wife,Anouk,,Together Alone,1,1,205733,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
3,71,Mijn Houten Hart,De Poema's,,Best Of De Poema's,1,3,259146,spotify:user:florisdenhengst,2019-09-03T08:58:12Z
4,127,Better Off Alone,Alice DJ,,Who Needs Guitars Anyway?,1,2,217573,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
5,65,Never Alone,2 Brothers On The 4th Floor,,Dreams,1,2,252071,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
6,22,Het Regent Zonnestralen,Acda en de Munnik,,Adem,1,7,225733,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
7,141,You Give Love A Bad Name,Bon Jovi,,Bon Jovi Greatest Hits,1,2,223146,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
8,69,Rainbow In The Sky,Dj Paul Elstak,,The Best Of Paul Elstak Top 20,1,3,213112,spotify:user:florisdenhengst,2019-09-03T08:05:31Z
9,132,Wannabe,Spice Girls,,Spice,1,1,173026,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
10,153,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",,Hip Hop - Universal Masters,1,8,305573,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
11,39,Summertime,DJ Jazzy Jeff & The Fresh Prince,,Homebase,1,2,270973,spotify:user:florisdenhengst,2019-09-03T08:42:52Z
12,25,Summer Of '69,Bryan Adams,,The Best Of Me,1,4,212893,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
13,119,It's My Life,Dr. Alban,,One Love (2nd Edition),1,2,239933,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
14,55,Don't Speak,No Doubt,,Tragic Kingdom,1,10,263000,spotify:user:florisdenhengst,2019-09-03T09:23:47Z
15,10,What's Up?,4 Non Blondes,,"Bigger, Better, Faster, More !",1,3,295493,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
16,15,God Is a DJ,Faithless,,Forever Faithless: The Greatest Hits,1,3,208506,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
17,138,Everybody Get Up,Five,,Greatest Hits,1,4,183840,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
18,136,U Can't Touch This,MC Hammer,,Please Hammer Don't Hurt 'Em,1,2,257360,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
19,32,Gangsta's Paradise,"Coolio, L.V.",,Gangsta's Paradise (US Release),1,3,241933,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
20,135,Teardrop,Massive Attack,,Mezzanine,1,3,330773,spotify:user:florisdenhengst,2019-09-03T09:20:02Z
21,122,All Star,Smash Mouth,,All Star Smash Hits,1,1,200560,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
